MPID	Title	Brand	UPC	MPN	MerchantCategory	ProductURL	imageURL	Availability	Price	Description
0720109PART	Mavic Echappee Jacket	Mavic		106820	Jackets	http://www.bicyclebuys.com/item/0720109PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0720109PART.jpg	In Stock	199.99	Mavic Echappee Jacket
0603176-26	Vittoria Zaffiro Pro Home Trainer Tire 26x1.1	Vittoria	641740159605	111330.1730.222BX	Road Tires	http://www.bicyclebuys.com/item/0603176-26/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603176.jpg	In Stock	29.99	Vittoria Zaffiro Pro Home Trainer Tire 26x1.1
0720120PART	Mavic Inferno Bib Tight	Mavic		12146	Bibs-Short	http://www.bicyclebuys.com/item/0720120PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0720120PART.jpg	In Stock	179.99	Mavic Inferno Bib Tight
0791412	Mavic Spring Underhelmet Cap	Mavic	0080694983773	12824210	Hats	http://www.bicyclebuys.com/item/0791412/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0791412.jpg	In Stock	24.99	Mavic Spring Underhelmet Cap
1799997	Cannondale Mini Tool BMT-6 Function/Chain Breaker '14	Cannondale	884603482612	3BMTCB/BLK	Tools	http://www.bicyclebuys.com/item/1799997/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799997.jpg	In Stock	24.99	Cannondale Mini Tool BMT-6 Function/Chain Breaker '14
0710109PART	Cannondale L.E. Winter Jacket '13	Cannondale		2M370	Jackets	http://www.bicyclebuys.com/item/0710109PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710109PART.jpg	In Stock	194.99	Cannondale L.E. Winter Jacket '13
0700079PART	Cannondale Team Bib Tight '13	Cannondale		2T279	Tights	http://www.bicyclebuys.com/item/0700079PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0700079PART.jpg	In Stock	179.99	Cannondale Team Bib Tight '13
0710111PART	Cannondale L.E. Winter Long Sleeve Jersey '13	Cannondale		2M171	Jerseys	http://www.bicyclebuys.com/item/0710111PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710111PART.jpg	In Stock	109.99	Cannondale L.E. Winter Long Sleeve Jersey '13
0701172PART	Louis Garneau Course Race Jersey	Louis Garneau		3820683	Jerseys	http://www.bicyclebuys.com/item/0701172PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0701172PART.jpg	In Stock	199.99	Louis Garneau Course Race Jersey
0701173PART	Louis Garneau Course Superleggera Jersey	Louis Garneau		3820685	Jerseys	http://www.bicyclebuys.com/item/0701173PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0701173PART.jpg	In Stock	179.99	Louis Garneau Course Superleggera Jersey
0701174PART	Louis Garneau Elite Carbon Jersey	Louis Garneau		3820687	Jerseys	http://www.bicyclebuys.com/item/0701174PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0701174PART.jpg	In Stock	143.99	Louis Garneau Elite Carbon Jersey
0603227	Hutchinson Carbon Comp 700x23 Tubular Tire	Hutchinson		BV53715	Road Tires	http://www.bicyclebuys.com/item/0603227/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603227.jpg	In Stock	89.99	Hutchinson Carbon Comp 700x23 Tubular Tire
0603228	Hutchinson Toro CX 700x32 Tire	Hutchinson	3248382051563	PV523461	Road Tires	http://www.bicyclebuys.com/item/0603228/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603228.jpg	In Stock	39.99	Hutchinson Toro CX 700x32 Tire
0114281	Cat-Eye TL-LD611 Rapid 1 USB Tailight	CatEye	725012023211	5446200	LightSets	http://www.bicyclebuys.com/item/0114281/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0114281.jpg	In Stock	29.99	Cat-Eye TL-LD611 Rapid 1 USB Tailight
0603229	Hutchinson Uran Tour + Serenity 700x35 Tire	Hutchinson	3248382048167	PV523065	Road Tires	http://www.bicyclebuys.com/item/0603229/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603229.jpg	In Stock	139.99	Hutchinson Uran Tour + Serenity 700x35 Tire
0603230	Hutchinson Uran Tour + Serenity 26 x 1.5 Tire	Hutchinson		PV523055	Road Tires	http://www.bicyclebuys.com/item/0603230/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603230.jpg	In Stock	129.99	Hutchinson Uran Tour + Serenity 26 x 1.5 Tire
